Enlace,datos
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230513004011&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230513003520&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230512215426&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230512211756&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230512205304&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230512175949&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230512174304&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230512153732&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230512150921&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230512123520&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230512094218&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230512062920&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230512055253&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511225344&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511223734&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511195348&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511194431&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511190302&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511185656&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511154320&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511145218&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511124806&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511123906&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511121642&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511121459&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511070116&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511042021&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230511013145&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230510215952&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230510215815&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230510173211&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230510112442&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230510071918&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230510030718&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230510030234&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230510024352&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230509231845&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230509213508&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230509132616&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230509110845&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230509090835&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230509052047&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230509051920&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230509024256&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230509021744&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230508214628&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230508145931&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230508121916&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230508114848&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230508110856&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230508095235&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230507185908&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230507143808&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230507142919&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230507141342&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230507134039&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230507114743&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230507032156&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230507030720&lang=es,[]
