,Fecha detectado el terremoto,longitud,latitud,Magnitud,profundidad,lugar
65,2023/05/14 23:03,33.3N,139.3E,5.4,10km,Mares cercanos de Isla de Hachijyo
66,2023/05/14 22:56,33.3N,139.4E,5.0,10km,Mares cercanos de Isla de Hachijyo
67,2023/05/14 22:48,29.9N,130.0E,2.6,20km,Mares cercanos de Islas Tokara
68,2023/05/14 20:29,33.4N,139.4E,4.7,10km,Mares cercanos de Isla de Hachijyo
69,2023/05/14 19:11,33.4N,139.3E,5.9,10km,Mares cercanos de Isla de Hachijyo
70,2023/05/14 17:44,33.0N,139.0E,5.3,10km,Mares cercanos de Isla de Hachijyo
71,2023/05/14 17:21,33.3N,139.2E,5.9,10km,Mares cercanos de Isla de Hachijyo
72,2023/05/14 17:12,33.4N,139.3E,5.6,10km,Mares cercanos de Isla de Hachijyo
73,2023/05/14 16:03,33.3N,139.3E,4.7,10km,Mares cercanos de Isla de Hachijyo
74,2023/05/14 12:35,30.0N,130.0E,1.8,Poco profundo,Mares cercanos de Islas Tokara
75,2023/05/14 08:52,38.3N,140.5E,2.8,10km,Centro de Prefectura de Miyagi
76,2023/05/14 08:33,29.9N,130.0E,3.2,10km,Mares cercanos de Islas Tokara
77,2023/05/14 07:41,29.9N,130.0E,2.6,10km,Mares cercanos de Islas Tokara
78,2023/05/14 07:05,30.0N,130.0E,2.0,10km,Mares cercanos de Islas Tokara
79,2023/05/14 06:30,29.9N,130.0E,2.7,10km,Mares cercanos de Islas Tokara
80,2023/05/14 02:18,26.7N,142.6E,4.5,20km,Mares cercanos de Isla Chichishima
81,2023/05/14 02:03,29.9N,130.0E,2.0,Poco profundo,Mares cercanos de Islas Tokara
82,2023/05/14 00:36,29.9N,130.0E,2.5,10km,Mares cercanos de Islas Tokara
83,2023/05/14 00:09,29.9N,130.0E,3.1,10km,Mares cercanos de Islas Tokara
84,2023/05/13 22:59,29.9N,130.0E,1.9,10km,Mares cercanos de Islas Tokara
85,2023/05/13 22:11,29.9N,130.0E,2.2,10km,Mares cercanos de Islas Tokara
86,2023/05/13 19:51,30.0N,129.9E,2.3,10km,Mares cercanos de Islas Tokara
87,2023/05/13 19:47,30.0N,130.0E,1.9,10km,Mares cercanos de Islas Tokara
88,2023/05/13 19:45,37.5N,137.1E,2.5,10km,Alta mar de Península de Noto
89,2023/05/13 19:01,29.9N,130.0E,2.5,10km,Mares cercanos de Islas Tokara
90,2023/05/13 17:57,29.9N,130.0E,2.0,20km,Mares cercanos de Islas Tokara
91,2023/05/13 17:51,29.9N,130.0E,2.3,10km,Mares cercanos de Islas Tokara
92,2023/05/13 17:39,29.9N,130.1E,2.3,Poco profundo,Mares cercanos de Islas Tokara
93,2023/05/13 17:31,29.9N,130.1E,2.1,10km,Mares cercanos de Islas Tokara
94,2023/05/13 17:28,30.0N,130.0E,2.9,10km,Mares cercanos de Islas Tokara
95,2023/05/13 17:16,29.9N,130.0E,3.1,10km,Mares cercanos de Islas Tokara
96,2023/05/13 17:03,29.9N,130.0E,2.0,10km,Mares cercanos de Islas Tokara
97,2023/05/13 16:54,29.9N,130.0E,2.3,10km,Mares cercanos de Islas Tokara
98,2023/05/13 16:48,35.5N,139.0E,2.8,20km,"Este, Fujigoko de Prefectura de Yamanashi"
99,2023/05/13 16:35,29.9N,130.0E,2.4,10km,Mares cercanos de Islas Tokara
100,2023/05/13 16:31,30.0N,130.0E,2.0,10km,Mares cercanos de Islas Tokara
101,2023/05/13 16:20,29.9N,129.9E,2.8,20km,Mares cercanos de Islas Tokara
102,2023/05/13 16:16,29.9N,130.0E,2.8,10km,Mares cercanos de Islas Tokara
103,2023/05/13 16:14,29.9N,130.0E,3.4,20km,Mares cercanos de Islas Tokara
104,2023/05/13 16:10,29.9N,130.0E,5.1,10km,Mares cercanos de Islas Tokara
105,2023/05/13 05:25,37.6N,137.3E,3.1,10km,Alta mar de Península de Noto
106,2023/05/13 00:37,30.0N,130.0E,2.5,10km,Mares cercanos de Islas Tokara
107,2023/05/13 00:32,33.5N,132.4E,3.1,40km,"Nanyo, Prefectura de Ehime"
108,2023/05/12 21:45,33.5N,132.4E,4.2,40km,"Nanyo, Prefectura de Ehime"
109,2023/05/12 21:15,37.5N,137.3E,2.6,10km,"Región Noto, Prefectura de Ishikawa"
